parent_node,elevation,connect_1,distance_1,connect_2,distance_2,connect_3,distance_3,connect_4,distance_4,connect_5,distance_5,parking
1,748.03,2,1.1496,8,0.79,,,,,,,1
2,692.26,1,1.1496,3,0.51,8,0.42,,,,,1
3,675.85,2,0.5089,4,1,5,1.14,,,,,
4,846.46,3,1,5,0.47,6,0.52,7,0.74,,,1
5,738.19,3,1.14,4,0.47,6,0.7,,,,,
6,935.04,4,0.52,5,0.7,7,1.19,,,,,
7,967.85,4,0.74,6,1.19,8,0.11,9,0.39,24,0.86,
8,990.81,1,0.79,2,0.42,7,0.11,,,,,
9,295.93,7,0.39,10,0.15,11,0.61,,,,,
10,315.62,9,0.15,24,0.75,21,0.4,,,,,
11,824.15,9,0.61,12,1.43,19,0.64,,,,,1
12,781.5,11,1.43,13,0.1,17,0.22,,,,,1
13,696.19,12,0.1,20,1.21,23,1.17,,,,,
14,204.07,15,1.05,16,0.8,17,0.55,,,,,
15,685.7,14,1.05,16,0.83,,,,,,,1
16,764.44,14,0.8,15,0.83,18,0.94,,,,,1
17,473.1,12,0.22,14,0.55,18,1.04,,,,,1
18,925.2,16,0.94,17,1.04,24,1.56,,,,,
19,820.87,11,0.64,20,0.81,22,0.76,,,,,
20,919.29,13,1.21,19,0.81,23,0.44,,,,,
21,397.64,10,0.4,22,0.63,23,0.79,,,,,
22,535.43,19,0.76,21,0.63,23,0.1,,,,,
23,538.71,13,1.17,20,0.44,21,0.79,22,0.1,,,1
24,1197,7,0.86,10,0.75,18,1.56,,,,,